Club,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ADO Den Haag,0,33,68,115,146,195,201,208,192,209,231,261,263,281,299,296,278,289,268,242,230,218,196,217,220,190,159,126,77,34,27,55,65,89,137,146,122,112,88,40,12,0,0,0,0,0,0,10,49,88,118,122,127,119,125,141,171,190,201,197,191,204,211,177
Ajax,25,103,158,220,285,336,307,309,282,269,279,314,328,385,409,414,414,434,403,401,389,374,355,375,356,355,377,384,378,405,412,387,378,373,357,355,355,373,376,413,391,411,391,377,332,335,326,338,359,371,379,368,362,350,362,361,375,377,382,373,380,385,393,336
Alkmaar,0,0,0,0,16,30,30,30,30,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,0,0,0,0,0,0,0,0,0,0,0,0,16,48,72,82,98,124,133,162,212,267,286,313,343,354,340,319,293,256,225,201,184,142,96,56,23,0,0,0,18,25,53,105,151,166,201,229,244,258,302,316,319,319,325,313,302,288,272,259,262,276,289,260
Blauw-Wit,0,16,63,97,117,146,178,166,140,120,91,43,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVC Amsterdam,16,58,80,80,80,64,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVV,17,52,64,64,64,47,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Graafschap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,51,86,119,135,122,84,49,24,15,15,15,15,7,0,0,0,0,13,27,27,27,41,73,95,134,166,184,175,171,142,118,97,61,51,62,71,81,110,100,79,62,46,35,23,35,48
De Volewijckers,0,0,0,0,0,15,49,55,55,55,40,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOS Utrecht,21,80,153,207,252,290,283,245,228,212,200,180,168,158,149,102,70,47,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
